Material Document List                                                          
Company Code: 1000                                                              
Plant(s): 1000, 1010, 2000                                                     
Posting Date: 01.01.2023 - 31.12.2023                                          
Movement Types: 101,201,261,262                                                 
                                                                                
Buchungskreis	Werk	Belegnummer	Material	Materialkurztext	Buchungsdatum	Bewegungsart	Menge	Mengeneinheit	Betrag in Hauswährung	Währung	Kostenstelle	Sachkonto
1000	1000	4900012301	DIESEL-001	Dieselkraftstoff Premium	15.01.2023	261	2.450,00	L	3.234,50	EUR	PROD-001	400100
1000	1000	4900012302	DIESEL-001	Dieselkraftstoff Premium	15.01.2023	261	1.800,00	L	2.376,00	EUR	PROD-001	400100
1000	1000	4900012303	DIESEL-001	Dieselkraftstoff Premium	22.01.2023	262	-450,00	L	-594,00	EUR	PROD-001	400100
1000	1000	4900012401	NATGAS-002	Erdgas (Heizung)	31.01.2023	261	3.200,00	NM3	1.024,00	EUR	FACIL-001	400200
1000	1010	4900012501	DIESEL-002	Diesel Fuel (Munich Plant)	05.02.2023	261	1.125,50	L	1.486,00	EUR	PROD-MUC	400100
1000	1010	4900012502	PETROL-001	Benzin Super 95	08.02.2023	261	890,00	L	1.246,00	EUR	FLEET-MUC	400150
1000	1010	4900012503	DIESEL-002	Diesel Fuel (Munich Plant)	14.02.2023	261	2.300,00	L	3.036,00	EUR	PROD-MUC	400100
1000	2000	4900012601	DIESEL-UK1	Diesel Fuel (UK)	10.02.2023	261	1.500,00	L	2.340,00	GBP	PROD-UK	400100
1000	2000	4900012602	ELEC-UK01	Electricity (Grid)	28.02.2023	261	45.200,00	KWH	4.520,00	GBP	FACIL-UK	400300
1000	1000	4900012701	DIESEL-001	Dieselkraftstoff Premium	03.03.2023	261	3.100,00	L	4.092,00	EUR	PROD-001	400100
1000	1000	4900012702	HEIZOIL-01	Heizöl EL schwefelarm	15.03.2023	261	5.000,00	L	4.000,00	EUR	FACIL-001	400200
1000	1000	4900012703	NATGAS-002	Erdgas (Heizung)	31.03.2023	261	2.800,00	NM3	896,00	EUR	FACIL-001	400200
1000	1010	4900012801	DIESEL-002	Diesel Fuel (Munich Plant)	12.03.2023	261	1.875,00	L	2.475,00	EUR	PROD-MUC	400100
1000	1010	4900012802	LPG-001	Propangas (Flüssig)	20.03.2023	261	800,00	KG	960,00	EUR	PROD-MUC	400250
1000	2000	4900012901	DIESEL-UK1	Diesel Fuel (UK)	07.03.2023	261	2.200,00	L	3.432,00	GBP	PROD-UK	400100
1000	2000	4900012902	DIESEL-UK1	Diesel Fuel (UK)	21.03.2023	261	1.800,00	L	2.808,00	GBP	PROD-UK	400100
1000	1000	4900013001	DIESEL-001	Dieselkraftstoff Premium	04.04.2023	261	2.700,00	L	3.564,00	EUR	PROD-001	400100
1000	1000	4900013002	NATGAS-002	Erdgas (Heizung)	30.04.2023	261	1.500,00	NM3	480,00	EUR	FACIL-001	400200
1000	1010	4900013101	DIESEL-002	Diesel Fuel (Munich Plant)	11.04.2023	261	2.050,00	L	2.706,00	EUR	PROD-MUC	400100
1000	1010	4900013102	PETROL-001	Benzin Super 95	19.04.2023	261	750,00	L	1.050,00	EUR	FLEET-MUC	400150
1000	2000	4900013201	DIESEL-UK1	Diesel Fuel (UK)	14.04.2023	261	1.950,00	L	3.042,00	GBP	PROD-UK	400100
1000	2000	4900013202	ELEC-UK01	Electricity (Grid)	30.04.2023	261	41.800,00	KWH	4.180,00	GBP	FACIL-UK	400300
1000	1000	4900013301	DIESEL-001	Dieselkraftstoff Premium	09.05.2023	261	2.900,00	L	3.828,00	EUR	PROD-001	400100
1000	1000	4900013302	HEIZOIL-01	Heizöl EL schwefelarm	22.05.2023	261	2.000,00	L	1.600,00	EUR	FACIL-001	400200
1000	1010	4900013401	DIESEL-002	Diesel Fuel (Munich Plant)	08.05.2023	261	2.200,00	L	2.904,00	EUR	PROD-MUC	400100
1000	2000	4900013501	DIESEL-UK1	Diesel Fuel (UK)	05.05.2023	261	2.400,00	L	3.744,00	GBP	PROD-UK	400100
1000	3000	4900013601	RM-10432	Type A Production Input	15.05.2023	311	500,00	KG	2.500,00	EUR	PROD-003	300100
1000	1000	4900013701	DIESEL-001	Dieselkraftstoff Premium	06.06.2023	261	3.200,00	L	4.224,00	EUR	PROD-001	400100
1000	1000	4900013702	NATGAS-002	Erdgas (Heizung)	30.06.2023	261	800,00	NM3	256,00	EUR	FACIL-001	400200
1000	1010	4900013801	DIESEL-002	Diesel Fuel (Munich Plant)	13.06.2023	261	1.950,00	L	2.574,00	EUR	PROD-MUC	400100
1000	1010	4900013802	PETROL-001	Benzin Super 95	27.06.2023	261	680,00	L	952,00	EUR	FLEET-MUC	400150
1000	2000	4900013901	DIESEL-UK1	Diesel Fuel (UK)	09.06.2023	261	2.100,00	L	3.276,00	GBP	PROD-UK	400100
1000	2000	4900013902	ELEC-UK01	Electricity (Grid)	30.06.2023	261	39.500,00	KWH	3.950,00	GBP	FACIL-UK	400300
Summe:	 	 	 	 	 	 	 	 	81.229,50	 	 	
