Meter ID,Account Number,Service Address,From Date,To Date,Consumption,Units,Tariff Code,Supplier,Renewable
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,15/12/2022,17/01/2023,48200,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,17/01/2023,15/02/2023,51400,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,15/02/2023,16/03/2023,47800,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,16/03/2023,18/04/2023,44100,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,18/04/2023,17/05/2023,38600,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,17/05/2023,16/06/2023,35200,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,16/06/2023,18/07/2023,33800,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,18/07/2023,16/08/2023,34500,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,16/08/2023,14/09/2023,36200,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,14/09/2023,16/10/2023,41300,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,16/10/2023,15/11/2023,49800,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0012345678901,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,15/11/2023,19/12/2023,53100,kWh,HH-MAX-T1,British Gas Business,No
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,20/12/2022,22/01/2023,12400,kWh,SME-STD,EDF Energy,Yes
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,22/01/2023,21/02/2023,13100,kWh,SME-STD,EDF Energy,Yes
